shopify_zone,country,weight_kg,shopify_usd,system_fedex_usd,system_dhl_usd,shopify_minus_fedex,pct_vs_fedex,fedex_cheaper_than_dhl,carrier_serves
America,US,0.5,41,56,50,-15,-26.3,false,DHL|FedEx
America,US,1,48,62,50,-14,-23,false,DHL|FedEx
America,US,2,64,78,50,-14,-18.1,false,DHL|FedEx
America,US,3,76,90,102,-14,-15.4,true,DHL|FedEx
America,US,5,109,122,137,-13,-10.8,true,DHL|FedEx
America,CA,0.5,41,52,50,-11,-21.7,false,DHL|FedEx
America,CA,1,48,59,50,-11,-18.8,false,DHL|FedEx
America,CA,2,64,75,50,-11,-14.5,false,DHL|FedEx
America,CA,3,76,87,102,-11,-12.2,true,DHL|FedEx
America,CA,5,109,119,137,-10,-8.4,true,DHL|FedEx
America,MX,0.5,41,47,50,-6,-12.1,true,DHL|FedEx
America,MX,1,48,53,50,-5,-10,false,DHL|FedEx
America,MX,2,64,69,50,-5,-7.4,false,DHL|FedEx
America,MX,3,76,81,102,-5,-6,true,DHL|FedEx
America,MX,5,109,113,137,-4,-3.7,true,DHL|FedEx
Asia and Oceania,AU,0.5,40,44,48,-4,-8.8,true,DHL|FedEx
Asia and Oceania,AU,1,48,46,48,2,5.3,true,DHL|FedEx
Asia and Oceania,AU,2,58,57,48,1,1.2,false,DHL|FedEx
Asia and Oceania,AU,3,72,68,96,4,5.8,true,DHL|FedEx
Asia and Oceania,AU,5,90,90,127,0,-0.4,true,DHL|FedEx
Asia and Oceania,AZ,0.5,40,48,64,-8,-16.3,true,DHL|FedEx
Asia and Oceania,AZ,1,48,51,64,-3,-5.5,true,DHL|FedEx
Asia and Oceania,AZ,2,58,69,64,-11,-15.9,false,DHL|FedEx
Asia and Oceania,AZ,3,72,79,130,-7,-8.9,true,DHL|FedEx
Asia and Oceania,AZ,5,90,111,180,-21,-18.9,true,DHL|FedEx
Asia and Oceania,BD,0.5,40,52,48,-12,-22.4,false,DHL|FedEx
Asia and Oceania,BD,1,48,56,48,-8,-14.2,false,DHL|FedEx
Asia and Oceania,BD,2,58,76,48,-18,-23.9,false,DHL|FedEx
Asia and Oceania,BD,3,72,90,96,-18,-20.4,true,DHL|FedEx
Asia and Oceania,BD,5,90,124,127,-34,-27.5,true,DHL|FedEx
Asia and Oceania,BT,0.5,40,52,48,-12,-22.4,false,DHL|FedEx
Asia and Oceania,BT,1,48,56,48,-8,-14.2,false,DHL|FedEx
Asia and Oceania,BT,2,58,76,48,-18,-23.9,false,DHL|FedEx
Asia and Oceania,BT,3,72,90,96,-18,-20.4,true,DHL|FedEx
Asia and Oceania,BT,5,90,124,127,-34,-27.5,true,DHL|FedEx
Asia and Oceania,IO,0.5,40,,,,,,
Asia and Oceania,IO,1,48,,,,,,
Asia and Oceania,IO,2,58,,,,,,
Asia and Oceania,IO,3,72,,,,,,
Asia and Oceania,IO,5,90,,,,,,
Asia and Oceania,CN,0.5,40,46,45,-6,-13.1,false,DHL|FedEx
Asia and Oceania,CN,1,48,47,45,1,1.2,false,DHL|FedEx
Asia and Oceania,CN,2,58,59,45,-1,-2.2,false,DHL|FedEx
Asia and Oceania,CN,3,72,59,92,13,22.4,true,DHL|FedEx
Asia and Oceania,CN,5,90,78,123,12,15.9,true,DHL|FedEx
Asia and Oceania,CX,0.5,40,,,,,,
Asia and Oceania,CX,1,48,,,,,,
Asia and Oceania,CX,2,58,,,,,,
Asia and Oceania,CX,3,72,,,,,,
Asia and Oceania,CX,5,90,,,,,,
Asia and Oceania,CC,0.5,40,,,,,,
Asia and Oceania,CC,1,48,,,,,,
Asia and Oceania,CC,2,58,,,,,,
Asia and Oceania,CC,3,72,,,,,,
Asia and Oceania,CC,5,90,,,,,,
Asia and Oceania,CK,0.5,40,61,79,-21,-34.3,true,DHL|FedEx
Asia and Oceania,CK,1,48,61,79,-13,-21.1,true,DHL|FedEx
Asia and Oceania,CK,2,58,82,80,-24,-29,false,DHL|FedEx
Asia and Oceania,CK,3,72,92,163,-20,-21.9,true,DHL|FedEx
Asia and Oceania,CK,5,90,130,220,-40,-30.5,true,DHL|FedEx
Asia and Oceania,FJ,0.5,40,61,79,-21,-34.3,true,DHL|FedEx
Asia and Oceania,FJ,1,48,61,79,-13,-21.1,true,DHL|FedEx
Asia and Oceania,FJ,2,58,82,80,-24,-29,false,DHL|FedEx
Asia and Oceania,FJ,3,72,92,163,-20,-21.9,true,DHL|FedEx
Asia and Oceania,FJ,5,90,130,220,-40,-30.5,true,DHL|FedEx
Asia and Oceania,PF,0.5,40,61,79,-21,-34.3,true,DHL|FedEx
Asia and Oceania,PF,1,48,61,79,-13,-21.1,true,DHL|FedEx
Asia and Oceania,PF,2,58,82,80,-24,-29,false,DHL|FedEx
Asia and Oceania,PF,3,72,92,163,-20,-21.9,true,DHL|FedEx
Asia and Oceania,PF,5,90,130,220,-40,-30.5,true,DHL|FedEx
Asia and Oceania,IN,0.5,40,49,48,-9,-18.6,false,DHL|FedEx
Asia and Oceania,IN,1,48,54,48,-6,-10.9,false,DHL|FedEx
Asia and Oceania,IN,2,58,68,48,-10,-14.8,false,DHL|FedEx
Asia and Oceania,IN,3,72,76,96,-4,-5.2,true,DHL|FedEx
Asia and Oceania,IN,5,90,101,127,-11,-11,true,DHL|FedEx
Asia and Oceania,JP,0.5,40,49,40,-9,-18.7,false,DHL|FedEx
Asia and Oceania,JP,1,48,41,40,7,17.6,false,DHL|FedEx
Asia and Oceania,JP,2,58,51,41,7,14.2,false,DHL|FedEx
Asia and Oceania,JP,3,72,52,83,20,38.7,true,DHL|FedEx
Asia and Oceania,JP,5,90,68,109,22,31.9,true,DHL|FedEx
Asia and Oceania,JO,0.5,40,45,128,-5,-11.6,true,DHL|FedEx
Asia and Oceania,JO,1,48,50,128,-2,-3.3,true,DHL|FedEx
Asia and Oceania,JO,2,58,70,128,-12,-17.1,true,DHL|FedEx
Asia and Oceania,JO,3,72,84,195,-12,-14.4,true,DHL|FedEx
Asia and Oceania,JO,5,90,118,245,-28,-23.6,true,DHL|FedEx
Asia and Oceania,KZ,0.5,40,42,79,-2,-4.4,true,DHL|FedEx
Asia and Oceania,KZ,1,48,45,79,3,6.1,true,DHL|FedEx
Asia and Oceania,KZ,2,58,64,80,-6,-9.6,true,DHL|FedEx
Asia and Oceania,KZ,3,72,75,163,-3,-4.1,true,DHL|FedEx
Asia and Oceania,KZ,5,90,109,220,-18,-17.1,true,DHL|FedEx
Asia and Oceania,KI,0.5,40,,79,,,,DHL
Asia and Oceania,KI,1,48,,79,,,,DHL
Asia and Oceania,KI,2,58,,80,,,,DHL
Asia and Oceania,KI,3,72,,163,,,,DHL
Asia and Oceania,KI,5,90,,220,,,,DHL
Asia and Oceania,KG,0.5,40,48,79,-8,-16.9,true,DHL|FedEx
Asia and Oceania,KG,1,48,52,79,-4,-6.9,true,DHL|FedEx
Asia and Oceania,KG,2,58,70,80,-12,-17.7,true,DHL|FedEx
Asia and Oceania,KG,3,72,81,163,-9,-11.5,true,DHL|FedEx
Asia and Oceania,KG,5,90,115,220,-25,-21.6,true,DHL|FedEx
Asia and Oceania,LB,0.5,40,52,144,-12,-22.4,true,DHL|FedEx
Asia and Oceania,LB,1,48,56,144,-8,-14.2,true,DHL|FedEx
Asia and Oceania,LB,2,58,76,144,-18,-23.9,true,DHL|FedEx
Asia and Oceania,LB,3,72,90,227,-18,-20.4,true,DHL|FedEx
Asia and Oceania,LB,5,90,124,285,-34,-27.5,true,DHL|FedEx
Asia and Oceania,MO,0.5,40,49,37,-9,-19.1,false,DHL|FedEx
Asia and Oceania,MO,1,48,58,37,-10,-16.9,false,DHL|FedEx
Asia and Oceania,MO,2,58,69,38,-11,-15.4,false,DHL|FedEx
Asia and Oceania,MO,3,72,85,75,-13,-14.8,false,DHL|FedEx
Asia and Oceania,MO,5,90,104,93,-14,-13.7,false,DHL|FedEx
Asia and Oceania,MV,0.5,40,52,48,-12,-22.4,false,DHL|FedEx
Asia and Oceania,MV,1,48,56,48,-8,-14.2,false,DHL|FedEx
Asia and Oceania,MV,2,58,76,48,-18,-23.9,false,DHL|FedEx
Asia and Oceania,MV,3,72,90,96,-18,-20.4,true,DHL|FedEx
Asia and Oceania,MV,5,90,124,127,-34,-27.5,true,DHL|FedEx
Asia and Oceania,MN,0.5,40,49,79,-9,-17.6,true,DHL|FedEx
Asia and Oceania,MN,1,48,50,79,-2,-3.2,true,DHL|FedEx
Asia and Oceania,MN,2,58,63,80,-5,-7.3,true,DHL|FedEx
Asia and Oceania,MN,3,72,70,163,2,3.4,true,DHL|FedEx
Asia and Oceania,MN,5,90,93,220,-3,-2.8,true,DHL|FedEx
Asia and Oceania,NR,0.5,40,,79,,,,DHL
Asia and Oceania,NR,1,48,,79,,,,DHL
Asia and Oceania,NR,2,58,,80,,,,DHL
Asia and Oceania,NR,3,72,,163,,,,DHL
Asia and Oceania,NR,5,90,,220,,,,DHL
Asia and Oceania,NP,0.5,40,52,48,-12,-22.4,false,DHL|FedEx
Asia and Oceania,NP,1,48,56,48,-8,-14.2,false,DHL|FedEx
Asia and Oceania,NP,2,58,76,48,-18,-23.9,false,DHL|FedEx
Asia and Oceania,NP,3,72,90,96,-18,-20.4,true,DHL|FedEx
Asia and Oceania,NP,5,90,124,127,-34,-27.5,true,DHL|FedEx
Asia and Oceania,NC,0.5,40,61,79,-21,-34.3,true,DHL|FedEx
Asia and Oceania,NC,1,48,61,79,-13,-21.1,true,DHL|FedEx
Asia and Oceania,NC,2,58,82,80,-24,-29,false,DHL|FedEx
Asia and Oceania,NC,3,72,92,163,-20,-21.9,true,DHL|FedEx
Asia and Oceania,NC,5,90,130,220,-40,-30.5,true,DHL|FedEx
Asia and Oceania,NZ,0.5,40,44,48,-4,-8.8,true,DHL|FedEx
Asia and Oceania,NZ,1,48,46,48,2,5.3,true,DHL|FedEx
Asia and Oceania,NZ,2,58,57,48,1,1.2,false,DHL|FedEx
Asia and Oceania,NZ,3,72,68,96,4,5.8,true,DHL|FedEx
Asia and Oceania,NZ,5,90,90,127,0,-0.4,true,DHL|FedEx
Asia and Oceania,NU,0.5,40,,79,,,,DHL
Asia and Oceania,NU,1,48,,79,,,,DHL
Asia and Oceania,NU,2,58,,80,,,,DHL
Asia and Oceania,NU,3,72,,163,,,,DHL
Asia and Oceania,NU,5,90,,220,,,,DHL
Asia and Oceania,NF,0.5,40,,,,,,
Asia and Oceania,NF,1,48,,,,,,
Asia and Oceania,NF,2,58,,,,,,
Asia and Oceania,NF,3,72,,,,,,
Asia and Oceania,NF,5,90,,,,,,
Asia and Oceania,OM,0.5,40,45,128,-5,-11.6,true,DHL|FedEx
Asia and Oceania,OM,1,48,50,128,-2,-3.3,true,DHL|FedEx
Asia and Oceania,OM,2,58,70,128,-12,-17.1,true,DHL|FedEx
Asia and Oceania,OM,3,72,84,195,-12,-14.4,true,DHL|FedEx
Asia and Oceania,OM,5,90,118,245,-28,-23.6,true,DHL|FedEx
Asia and Oceania,PK,0.5,40,52,48,-12,-22.4,false,DHL|FedEx
Asia and Oceania,PK,1,48,56,48,-8,-14.2,false,DHL|FedEx
Asia and Oceania,PK,2,58,76,48,-18,-23.9,false,DHL|FedEx
Asia and Oceania,PK,3,72,90,96,-18,-20.4,true,DHL|FedEx
Asia and Oceania,PK,5,90,124,127,-34,-27.5,true,DHL|FedEx
Asia and Oceania,PS,0.5,40,52,,-12,-22.4,true,FedEx
Asia and Oceania,PS,1,48,56,,-8,-14.2,true,FedEx
Asia and Oceania,PS,2,58,76,,-18,-23.9,true,FedEx
Asia and Oceania,PS,3,72,90,,-18,-20.4,true,FedEx
Asia and Oceania,PS,5,90,124,,-34,-27.5,true,FedEx
Asia and Oceania,PG,0.5,40,61,48,-21,-34.3,false,DHL|FedEx
Asia and Oceania,PG,1,48,61,48,-13,-21.1,false,DHL|FedEx
Asia and Oceania,PG,2,58,82,48,-24,-29,false,DHL|FedEx
Asia and Oceania,PG,3,72,92,96,-20,-21.9,true,DHL|FedEx
Asia and Oceania,PG,5,90,130,127,-40,-30.5,false,DHL|FedEx
Asia and Oceania,PN,0.5,40,,,,,,
Asia and Oceania,PN,1,48,,,,,,
Asia and Oceania,PN,2,58,,,,,,
Asia and Oceania,PN,3,72,,,,,,
Asia and Oceania,PN,5,90,,,,,,
Asia and Oceania,RU,0.5,40,48,79,-8,-16.3,true,DHL|FedEx
Asia and Oceania,RU,1,48,51,79,-3,-5.5,true,DHL|FedEx
Asia and Oceania,RU,2,58,69,80,-11,-15.9,true,DHL|FedEx
Asia and Oceania,RU,3,72,79,163,-7,-8.9,true,DHL|FedEx
Asia and Oceania,RU,5,90,111,220,-21,-18.9,true,DHL|FedEx
Asia and Oceania,WS,0.5,40,61,79,-21,-34.3,true,DHL|FedEx
Asia and Oceania,WS,1,48,61,79,-13,-21.1,true,DHL|FedEx
Asia and Oceania,WS,2,58,82,80,-24,-29,false,DHL|FedEx
Asia and Oceania,WS,3,72,92,163,-20,-21.9,true,DHL|FedEx
Asia and Oceania,WS,5,90,130,220,-40,-30.5,true,DHL|FedEx
Asia and Oceania,SB,0.5,40,,79,,,,DHL
Asia and Oceania,SB,1,48,,79,,,,DHL
Asia and Oceania,SB,2,58,,80,,,,DHL
Asia and Oceania,SB,3,72,,163,,,,DHL
Asia and Oceania,SB,5,90,,220,,,,DHL
Asia and Oceania,KR,0.5,40,39,45,1,2.7,true,DHL|FedEx
Asia and Oceania,KR,1,48,39,45,9,22.8,true,DHL|FedEx
Asia and Oceania,KR,2,58,49,45,9,19.5,false,DHL|FedEx
Asia and Oceania,KR,3,72,53,92,19,34.8,true,DHL|FedEx
Asia and Oceania,KR,5,90,70,123,20,28.1,true,DHL|FedEx
Asia and Oceania,LK,0.5,40,52,48,-12,-22.4,false,DHL|FedEx
Asia and Oceania,LK,1,48,56,48,-8,-14.2,false,DHL|FedEx
Asia and Oceania,LK,2,58,76,48,-18,-23.9,false,DHL|FedEx
Asia and Oceania,LK,3,72,90,96,-18,-20.4,true,DHL|FedEx
Asia and Oceania,LK,5,90,124,127,-34,-27.5,true,DHL|FedEx
Asia and Oceania,TW,0.5,40,34,37,6,18.3,true,DHL|FedEx
Asia and Oceania,TW,1,48,34,37,14,40.4,true,DHL|FedEx
Asia and Oceania,TW,2,58,42,38,16,37.3,false,DHL|FedEx
Asia and Oceania,TW,3,72,46,75,26,56.2,true,DHL|FedEx
Asia and Oceania,TW,5,90,60,93,30,49.1,true,DHL|FedEx
Asia and Oceania,TJ,0.5,40,,79,,,,DHL
Asia and Oceania,TJ,1,48,,79,,,,DHL
Asia and Oceania,TJ,2,58,,80,,,,DHL
Asia and Oceania,TJ,3,72,,163,,,,DHL
Asia and Oceania,TJ,5,90,,220,,,,DHL
Asia and Oceania,TL,0.5,40,61,48,-21,-34.3,false,DHL|FedEx
Asia and Oceania,TL,1,48,61,48,-13,-21.1,false,DHL|FedEx
Asia and Oceania,TL,2,58,82,48,-24,-29,false,DHL|FedEx
Asia and Oceania,TL,3,72,92,96,-20,-21.9,true,DHL|FedEx
Asia and Oceania,TL,5,90,130,127,-40,-30.5,false,DHL|FedEx
Asia and Oceania,TK,0.5,40,,,,,,
Asia and Oceania,TK,1,48,,,,,,
Asia and Oceania,TK,2,58,,,,,,
Asia and Oceania,TK,3,72,,,,,,
Asia and Oceania,TK,5,90,,,,,,
Asia and Oceania,TO,0.5,40,61,79,-21,-34.3,true,DHL|FedEx
Asia and Oceania,TO,1,48,61,79,-13,-21.1,true,DHL|FedEx
Asia and Oceania,TO,2,58,82,80,-24,-29,false,DHL|FedEx
Asia and Oceania,TO,3,72,92,163,-20,-21.9,true,DHL|FedEx
Asia and Oceania,TO,5,90,130,220,-40,-30.5,true,DHL|FedEx
Asia and Oceania,TM,0.5,40,,79,,,,DHL
Asia and Oceania,TM,1,48,,79,,,,DHL
Asia and Oceania,TM,2,58,,80,,,,DHL
Asia and Oceania,TM,3,72,,163,,,,DHL
Asia and Oceania,TM,5,90,,220,,,,DHL
Asia and Oceania,TV,0.5,40,,79,,,,DHL
Asia and Oceania,TV,1,48,,79,,,,DHL
Asia and Oceania,TV,2,58,,80,,,,DHL
Asia and Oceania,TV,3,72,,163,,,,DHL
Asia and Oceania,TV,5,90,,220,,,,DHL
Asia and Oceania,UZ,0.5,40,48,79,-8,-16.9,true,DHL|FedEx
