shopify_zone,country,system_market,market_carriers,dhl_serves,fedex_serves,note
America,US,united-states,fedex,true,true,
America,CA,canada,NONE,true,true,market-chưa-link-carrier
America,MX,,,true,true,không-có-market-hệ-thống
Asia and Oceania,AU,oceania,NONE,true,true,market-chưa-link-carrier
Asia and Oceania,AZ,,,true,true,không-có-market-hệ-thống
Asia and Oceania,BD,,,true,true,không-có-market-hệ-thống
Asia and Oceania,BT,,,true,true,không-có-market-hệ-thống
Asia and Oceania,IO,,,false,false,không-có-market-hệ-thống;không-carrier-nào-phục-vụ
Asia and Oceania,CN,greater-china,NONE,true,true,market-chưa-link-carrier
Asia and Oceania,CX,,,false,false,không-có-market-hệ-thống;không-carrier-nào-phục-vụ
Asia and Oceania,CC,,,false,false,không-có-market-hệ-thống;không-carrier-nào-phục-vụ
Asia and Oceania,CK,,,true,true,không-có-market-hệ-thống
Asia and Oceania,FJ,,,true,true,không-có-market-hệ-thống
Asia and Oceania,PF,,,true,true,không-có-market-hệ-thống
Asia and Oceania,IN,,,true,true,không-có-market-hệ-thống
Asia and Oceania,JP,japan,NONE,true,true,market-chưa-link-carrier
Asia and Oceania,JO,middle-east,dhl|fedex,true,true,
Asia and Oceania,KZ,,,true,true,không-có-market-hệ-thống
Asia and Oceania,KI,,,true,false,không-có-market-hệ-thống
Asia and Oceania,KG,,,true,true,không-có-market-hệ-thống
Asia and Oceania,LB,middle-east,dhl|fedex,true,true,
Asia and Oceania,MO,greater-china,NONE,true,true,market-chưa-link-carrier
Asia and Oceania,MV,,,true,true,không-có-market-hệ-thống
Asia and Oceania,MN,,,true,true,không-có-market-hệ-thống
Asia and Oceania,NR,,,true,false,không-có-market-hệ-thống
Asia and Oceania,NP,,,true,true,không-có-market-hệ-thống
Asia and Oceania,NC,,,true,true,không-có-market-hệ-thống
Asia and Oceania,NZ,oceania,NONE,true,true,market-chưa-link-carrier
Asia and Oceania,NU,,,true,false,không-có-market-hệ-thống
Asia and Oceania,NF,,,false,false,không-có-market-hệ-thống;không-carrier-nào-phục-vụ
Asia and Oceania,OM,middle-east,dhl|fedex,true,true,
Asia and Oceania,PK,,,true,true,không-có-market-hệ-thống
Asia and Oceania,PS,,,false,true,không-có-market-hệ-thống
Asia and Oceania,PG,,,true,true,không-có-market-hệ-thống
Asia and Oceania,PN,,,false,false,không-có-market-hệ-thống;không-carrier-nào-phục-vụ
Asia and Oceania,RU,,,true,true,không-có-market-hệ-thống
Asia and Oceania,WS,,,true,true,không-có-market-hệ-thống
Asia and Oceania,SB,,,true,false,không-có-market-hệ-thống
